# omp v18.1.8 596f2da7101178214aa27a753529d15e6b7ad91d
path	bytes	lines	role	surface
crates/pi-edit/tests/fixtures/apply_patch/scenarios/003_multiple_chunks/input/multi.txt	24	4	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/003_multiple_chunks/patch.txt	97	9	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/004_move_to_new_directory/expected/old/other.txt	15	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/004_move_to_new_directory/expected/renamed/dir/name.txt	12	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/004_move_to_new_directory/input/old/name.txt	12	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/004_move_to_new_directory/input/old/other.txt	15	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/004_move_to_new_directory/patch.txt	123	7	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/005_rejects_empty_patch/expected/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/005_rejects_empty_patch/input/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/005_rejects_empty_patch/patch.txt	30	2	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/006_rejects_missing_context/expected/modify.txt	12	2	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/006_rejects_missing_context/input/modify.txt	12	2	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/006_rejects_missing_context/patch.txt	79	6	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/007_rejects_missing_file_delete/expected/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/007_rejects_missing_file_delete/input/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/007_rejects_missing_file_delete/patch.txt	59	3	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/008_rejects_empty_update_hunk/expected/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/008_rejects_empty_update_hunk/input/foo.txt	7	1	test	CRATE-PI-EDIT
